id,地址
10164,館前東路
10164,實踐路
10164,民族路
10164,漢民路
10164,漢生東路
10164,明德路
10164,重慶路
10164,和平路
5415,明峰街
5415,康寧街
5415,東湖路
5415,三重路
5415,南港路
10164,和平路
10164,信義路
10164,青雲路
10164,立德路
10164,明德路
10164,青雲路
10164,石門路
16113,龍泉街
16113,英士路
16113,新海路
16113,長江路
16113,和平西路
16113,康定路
16113,漢口街
16113,中華路
5415,南港路
16405,中正路
10492,中正路
16463,文化路
16464,懷德街
10164,重慶路
16466,建一路
16466,橋和路
16466,仁愛路
16466,豫溪街
16466,國中路
16466,福和路
16466,永和路
16466,仁愛路
16466,莊敬路
16466,橋和路
10164,文化路
10164,漢生東路
10164,漢民路
10164,民族路
10164,中山路
10164,四川路
10164,忠孝路
11244,正義北路
11244,康定路
10162,信義路
10162,文化路
5415,大同路
5416,茄冬路
10162,漢生東路
10162,信義路
16113,長江路
10163,青雲路
10325,中正路
10325,敦化南路
10325,三民路
10325,玫瑰路
10325,安康路
10329,安康路
16685,文化路
5416,南港路
10143,忠孝東路
10148,中山路
10151,大觀路
5416,忠孝東路
11244,正義北路
10492,成泰路
10731,景平路
10731,木新路
16123,富山街
16123,三民路
16733,汐萬路
10492,重新路
16733,汐萬路
10148,大觀路
16733,汐萬路
10148,大觀路
10148,中山路
10148,中正一路
10148,復興路
10151,大觀路
10325,安康路
10281,中正路
10731,中正路
10731,寶橋路
10732,仁愛路
10151,和平西路
10453,工商路
16123,中華路
16123,八德路
16123,民大道二段與民生街
16123,政府西側門外(新府路
16123,中山路
16123,館前東路
16123,實踐路
16123,福德二路
16123,德光路
16123,莒光路
16123,民德路
16123,廣權路
10151,文化路
10151,中山路
10151,保安街
10151,三俊街
10161,連城路
10162,和平西路
10162,文化路
10163,四川路
10164,文化路
10171,員山路
16552,香蘭街
16552,福連街
16552,香蘭街路
16552,香蘭街
16552,香蘭街路
16552,香蘭街
16552,福連街
16552,香蘭街
17992,中正北路
17992,力行路
17992,三和路
17992,瑞光路
17992,三和路
10163,青雲路
10732,興隆路
10731,寶橋中興路
10731,景平路
15638,中興路
15638,工建路
15638,樟樹二路
15638,樟樹路
15638,康寧街
10171,萬大路
10171,員山路
10172,重慶南路
10172,連城路
10173,景安路
10195,四川路
10195,桂林路
10195,四川路
10195,中正路
10196,介壽路
10196,金城路
10196,連城路
17992,力行路
10281,新樹路
17011,康寧街
18318,泰山路
17992,中正北路
10732,辛亥路
10195,大義路
16557,學苑街
10772,興南路
10732,成功路
10281,中正路
10151,西門街
10453,民義路
15181,安和路
10329,中正路
15717,敦化北路
15717,八德路
15717,敦化南路
10143,安康路
10172,連城路
15717,敦化南路
15717,基隆路
15717,安和路
15717,安康路
10325,安康路
16629,中正東路
10325,安康路
10491,中正路
10491,中正路上近登龍街
10329,安康路
10329,敦化北路
10329,安康路
10173,福和路
10163,中山路
10143,寶橋路
10163,和平西路
10475,中正路
15717,安康路
10116,圓通路
10453,中興路
16123,廣權路
16123,民德路
16123,莒光路
16123,德光路
16123,福德二路
16123,實踐路
16123,中山路
16123,政府西側門對面(新府路
16123,民大道二段與觀光街口編號201280路
16123,民大道二段與觀光街
16123,民大道二段與民生路
16123,富山街
10116,興南路
16609,民安東路
18318,泰林路
10143,安康路
5415,大同路
10173,文化路
10173,成功路
10474,中正路
10474,中正路上近登龍街
10143,木柵路
16466,建一路
17311,中華路
17311,裕民路
16695,中央北路
16692,博愛路
16583,仁愛街
16695,大業路
16695,中央北路
16689,復興路
16691,民族路
16635,仁愛路
16692,明德路
16693,三民路
16693,凌雲路
16497,新民街
16695,中正東路
16691,景安路
16691,景平路
16694,北門街
16695,淡金路
16694,中山路
10784,民權路
16686,中正路
16686,保安街
16686,保安路
16686,保安街
16686,中山路
10475,新北市新莊區中正路
10511,中正路
10511,民族西路
16461,中央路
16688,崁頂三路
16688,中山北路
16688,淡金路
16688,淡金路忠愛街
16688,淡金路
16688,中正東路
16688,民權路
16688,大度路
16688,立德路
16606,學成路
16606,大成路
16606,學勤路
16606,復興路
16431,新市二路
16431,後洲路
16573,樹新路
17425,康寧街
16688,大度路
16688,民權路
16602,溪東路
16602,橫溪路
16602,介壽路
16602,中央路
16686,中正路
16694,文化二路
16693,三和路
16590,北宜路
10511,中正路
10475,中正路
10475,重新路
10475,中正路
16258,木柵路
16258,木新路
16258,寶橋路
16258,木新路
16258,木柵路
10173,興南路
10329,中正路
10424,林森北路
16693,三和路
16602,中央路
16861,仁愛路
10731,永貞路
10731,得和路
10511,重新路
16688,中正東路
18118,竹林路
18118,路
17668,公所路
17668,中央路
17668,五工六路
17668,五權路
17668,五工路
15638,成功路
10492,明志路
10492,中正路
10731,興隆路
10474,萬壽路
10474,重新路
15638,伯爵街
15638,康寧街
16656,安康路
10453,中正北路
10453,公園路
10453,公園路與常德街
10753,木柵路
16656,民族路
10143,安康路
10143,北新路
10143,安康路
10162,重慶路
10732,寶橋路
10732,成功路
10732,景平路
10732,中正路
5413,明峰街
5415,大同路
10116,中正路
10116,漢口街
10116,和平西路
15717,安康路
15717,敦化南路
15717,安康路
10753,木柵路
10116,中正路
16113,中正路
16123,莒光路
10281,龍安路
16668,集賢路
10195,桂林路
15181,安康路
15181,中正路
15181,金山南路
15181,中正路
15181,安和路
15181,安康路
16431,義山路
16431,沙崙路
10195,中央路
5416,八德路
5416,大同路
10164,忠孝路
10164,民族路
10164,青雲路
17311,連城路
17311,中正路
17311,錦和路
